CELL.TYPE	OC_POP	N	NUM_MANUAL_POPS_ZEROED_OUT	PEARSON	SPEARMAN	MEDIAN_OC_FREQ	MEDIAN_MANUAL_FREQ	MEAN_OC_FREQ	MEAN_MANUAL_FREQ	SD_OC_FREQ	SD_MANUAL_FREQ	FILTER
EM2 cytotoxic T cells	EM2 cytotoxic Tcells (CD27+  CD28-)	921	0	0.768877700206366	0.70581955659707	6.47016534867002	9	10.0500468730828	11.6581976112921	10.5701300266638	9.52701197556959	Samples with less than 10K lymph or 10K PBMC (in OC) are excluded
EM3 cytotoxic T cells	EM3 cytotoxic Tcells (CD27-  CD28-)	921	0	0.796944928377299	0.783007001356157	9.86078886310905	18.5	18.9271589310479	23.5918566775244	21.6622556795391	18.2945551690007	Samples with less than 10K lymph or 10K PBMC (in OC) are excluded
EM4 cytotoxic T cells	EM4 cytotoxic Tcells (CD27-  CD28+)	921	0	0.729760400957333	0.664463839963676	12.901376146789	10.4	16.0532441633287	12.8412595005429	13.2157124088352	10.5544495118832	Samples with less than 10K lymph or 10K PBMC (in OC) are excluded
Naïve cytotoxic T cells	naive helper Tcells (CCR7+ CD45RA+)	921	0	0.423033899908795	0.467652332984049	43.1321246335903	8	42.7071715663916	12.5687296416938	19.1416245299348	13.2481589948944	Samples with less than 10K lymph or 10K PBMC (in OC) are excluded
Helper T cells	Helper Tcells-CD4+	921	0	0.993174012910577	0.992595337472303	67.972137808584	66.9	65.8851226605759	64.8728555917481	14.8552170544747	14.9283761526203	Samples with less than 10K lymph or 10K PBMC (in OC) are excluded
Activated helper T cells	activated helper Tcells (CD4+ HLA-DR+)	921	0	0.368650961157486	0.467212683087692	1.20581842501254	1.9	1.42145383881819	2.2770901194354	0.935404611479692	1.51050905669179	Samples with less than 10K lymph or 10K PBMC (in OC) are excluded
Central Memory Naïve T cells	central memory helper Tcells (CCR7+ CD45RA-)	921	0	0.837345188346097	0.864493157047208	35.1500857111595	39	35.8285107881521	40.5888165038002	14.041434066368	16.115077156191	Samples with less than 10K lymph or 10K PBMC (in OC) are excluded
Effector Helper T cells	effector helper Tcells (CCR7- CD45RA+)	921	0	0.689099409530445	0.633165148129003	3.29952159402897	0.5	6.26968945352959	2.78327904451683	8.9315646606379	5.74658145044641	Samples with less than 10K lymph or 10K PBMC (in OC) are excluded
Effector memory helper T cells	effector memory helper Tcells (CCR7- CD45RA-)	921	0	0.590444889151712	0.375757585215981	13.1935153852207	4.5	15.1970161409212	7.71346362649294	9.60368996386294	9.56814648870836	Samples with less than 10K lymph or 10K PBMC (in OC) are excluded
Naïve Helper T cells	naive helper Tcells (CD95- CD28+)	921	0	0.966418013596573	0.969839383508352	45.7439083427465	38.7	44.6030572874745	38.5196525515744	19.7028756806383	17.6300149907707	Samples with less than 10K lymph or 10K PBMC (in OC) are excluded
Dendritic cells, Natural Killer lymphocytes, monocytes 	DC NK MONOCYTES (CD3- CD19-)	921	0	0.974007328700696	0.972354243047985	27.6365306183447	27.1	29.4647353535975	28.9197611292074	12.353446669781	11.693557328134	Samples with less than 10K lymph or 10K PBMC (in OC) are excluded
Dendritic cells, Natural Killer lymphocytes	DC NK (CD20- CD14-)	921	0	0.921301842069404	0.922968705477488	53.038329245461	55.2	53.1604986931062	55.0502714440825	15.9052931834629	15.0386936597384	Samples with less than 10K lymph or 10K PBMC (in OC) are excluded
Dendritic cells	DC (HLA-DR+)	921	0	0.877407967918875	0.917838829034789	12.2361269118948	12.3	14.4841045935549	14.3090119435396	10.0727323097045	8.92497687251105	Samples with less than 10K lymph or 10K PBMC (in OC) are excluded
Myeloid Dendritic cells	Myeloid DC (CD11c+ CD123-)	921	0	0.528611608782758	0.585223596232266	70.2413687748243	71.3	67.1374416604819	69.9753528773073	13.4993255235471	12.6226121508669	Samples with less than 10K lymph or 10K PBMC (in OC) are excluded
Plasmacytoid Dendritic cells	Plasmacytoid DC (CD11c- CD123+)	921	0	0.296739238150814	0.46597197736638	16.8364611260054	12.3	20.136136004245	13.7805646036916	12.6527318084026	8.35423624032365	Samples with less than 10K lymph or 10K PBMC (in OC) are excluded
Natural Killer lymphocytes	NK (CD16+)	921	0	0.886651210885371	0.910350395785709	62.6792639441972	66.4	60.5205485676326	65.1673181324647	15.787885132659	13.6748351184634	Samples with less than 10K lymph or 10K PBMC (in OC) are excluded
CD56HI Natural Killer lymphocytes	NK CD56HI	921	0	0.282349266346093	0.0563544654412389	0.447928331466965	2.5	0.761295867341281	3.15906623235613	1.28510633356523	2.71575251741132	Samples with less than 10K lymph or 10K PBMC (in OC) are excluded
CD56LO Natural Killer lymphocytes	NK CD56LO	921	0	0.737952228121986	0.700966264345979	97.0328542094456	90.2	95.0572909920053	88.1703583061889	6.95280074915979	8.29503392435858	Samples with less than 10K lymph or 10K PBMC (in OC) are excluded
MONOCYTES	MONOCYTES (CD14+)	921	0	0.837223708647209	0.831903998988702	30.1017789527711	41.7	31.4752500604194	41.9745928338762	13.9384146924056	15.0935728285511	Samples with less than 10K lymph or 10K PBMC (in OC) are excluded
Classical monocytes	Classical monocytes (CD16- CD14+)	921	0	0.0916970568323417	0.482832193931098	96.7008470798038	95.7	94.7909042768149	94.1510314875136	7.10862664494758	6.80214332590702	Samples with less than 10K lymph or 10K PBMC (in OC) are excluded
Non classical monocytes	Non classical monocytes (CD16+ CD14+)	921	0	0.112646621647142	0.416509255161001	3.29915292019617	2.3	5.20909572318506	2.80325732899023	7.10862664494758	2.46278611845031	Samples with less than 10K lymph or 10K PBMC (in OC) are excluded
B lymphocytes	B cells (CD3- CD19+)	918	0	0.864870463900901	0.911673741489656	5.2349155368574	5.2	6.84392165822697	6.46132897603486	6.22022781143585	5.76275761516423	Samples with less than 20K lymph or 20K PBMC (in OC) are excluded
